formulation,model_case,time_h,global_node_id,layer_id,layer_name,x_global_cm,concentration_ug_cm3,x_skin_cm,x_skin_um
Free KC,Case 1,12.0,11,1,Donor,0.25,1029.119841165266,-0.20454545454545453,-2045.4545454545453
Free KC,Case 1,12.0,12,1,Donor,0.2727272727272727,1029.1180913618525,-0.18181818181818182,-1818.1818181818182
Free KC,Case 1,12.0,13,1,Donor,0.29545454545454547,1029.11618940339,-0.15909090909090906,-1590.9090909090905
Free KC,Case 1,12.0,14,1,Donor,0.3181818181818182,1029.1141352903246,-0.13636363636363635,-1363.6363636363635
Free KC,Case 1,12.0,15,1,Donor,0.34090909090909094,1029.1119290231372,-0.11363636363636359,-1136.3636363636358
Free KC,Case 1,12.0,16,1,Donor,0.36363636363636365,1029.1095706023402,-0.09090909090909088,-909.0909090909089
Free KC,Case 1,12.0,17,1,Donor,0.38636363636363635,1029.1070600284768,-0.06818181818181818,-681.8181818181818
Free KC,Case 1,12.0,18,1,Donor,0.4090909090909091,1029.1043973021356,-0.045454545454545414,-454.54545454545416
Free KC,Case 1,12.0,19,1,Donor,0.4318181818181818,1029.1015824239337,-0.022727272727272707,-227.27272727272708
Free KC,Case 1,12.0,20,1,Donor,0.45454545454545453,1029.098615394525,0.0,0.0
Free KC,Case 1,12.0,21,2,SC,0.45454545454545453,787.3452187222747,0.0,0.0
Free KC,Case 1,12.0,22,2,SC,0.4547454545454545,722.9371579558274,0.00019999999999997797,1.9999999999997797
Free KC,Case 1,12.0,23,2,SC,0.45494545454545454,658.5102094494082,0.00040000000000001146,4.000000000000115
Free KC,Case 1,12.0,24,2,SC,0.4551454545454545,594.067160924529,0.0005999999999999894,5.999999999999894
Free KC,Case 1,12.0,25,2,SC,0.45534545454545455,529.6107949840434,0.0008000000000000229,8.00000000000023
Free KC,Case 1,12.0,26,2,SC,0.45554545454545453,465.1438861042199,0.0010000000000000009,10.000000000000009
Free KC,Case 1,12.0,27,2,SC,0.4557454545454545,400.6691976511634,0.0011999999999999789,11.999999999999789
Free KC,Case 1,12.0,28,2,SC,0.45594545454545454,336.1894789305647,0.0014000000000000123,14.000000000000124
Free KC,Case 1,12.0,29,2,SC,0.4561454545454545,271.7074622790576,0.0015999999999999903,15.999999999999904
Free KC,Case 1,12.0,30,2,SC,0.45634545454545455,207.22586020515004,0.0018000000000000238,18.000000000000238
Free KC,Case 1,12.0,31,2,SC,0.45654545454545453,142.74736258828312,0.0020000000000000018,20.000000000000018
Free KC,Case 1,12.0,32,3,EP/dermis,0.4565454545454546,142.73395663284515,0.0020000000000000573,20.000000000000572
Free KC,Case 1,12.0,33,3,EP/dermis,0.4574254545454546,141.2794269011976,0.002880000000000049,28.80000000000049
Free KC,Case 1,12.0,34,3,EP/dermis,0.45830545454545457,139.82547618789877,0.003760000000000041,37.60000000000041
Free KC,Case 1,12.0,35,3,EP/dermis,0.45918545454545456,138.37211001690204,0.004640000000000033,46.40000000000033
Free KC,Case 1,12.0,36,3,EP/dermis,0.4600654545454546,136.91933363466717,0.00552000000000008,55.200000000000806
Free KC,Case 1,12.0,37,3,EP/dermis,0.4609454545454546,135.46715200977474,0.006400000000000072,64.00000000000072
Free KC,Case 1,12.0,38,3,EP/dermis,0.4618254545454546,134.01556983262142,0.007280000000000064,72.80000000000064
Free KC,Case 1,12.0,39,3,EP/dermis,0.4627054545454546,132.56459151519655,0.008160000000000056,81.60000000000056
