time_h,Q1_donor_ug_cm2,Q2_SC_ug_cm2,Q3_EP_ug_cm2,Q4_receptor_ug_cm2,Q_total_ug_cm2,formulation,model_case,C_receptor_model_ug_mL,C_receptor_model_ug_cm3
13.8,465.3803621912925,0.9268806540210742,6.295820172218993,12.896367644823965,485.4994306623566,Free KC,Case 1,4.364924433632726,4.364924433632726
14.0,465.1146547254914,0.926468431989798,6.298939217223148,13.15936828759425,485.4994306622986,Free KC,Case 1,4.453940035801131,4.453940035801131
14.2,464.8491472773644,0.9260497463351124,6.301667679450331,13.422565959062204,485.499430662212,Free KC,Case 1,4.543022324605669,4.543022324605669
14.4,464.5838369035434,0.925624989947369,6.30402837307325,13.685940395559037,485.4994306621231,Free KC,Case 1,4.632164441573829,4.632164441573829
14.6,464.3187208173812,0.9251945341647024,6.30604286103342,13.94947244944763,485.4994306620269,Free KC,Case 1,4.7213599059668905,4.7213599059668905
14.8,464.05379639887855,0.9247587274093836,6.307731376209485,14.213144159436336,485.4994306619337,Free KC,Case 1,4.810602638578453,4.810602638578453
15.0,463.7890611662447,0.9243178991004972,6.309113048539306,14.47693854798627,485.4994306618708,Free KC,Case 1,4.899886893164584,4.899886893164584
15.2,463.524512788256,0.9238723579473144,6.310205805620904,14.740839709982078,485.49943066180623,Free KC,Case 1,4.989207286455473,4.989207286455473
15.4,463.2601490532395,0.9234223962238504,6.311026621248306,15.004832591033493,485.4994306617451,Free KC,Case 1,5.078558723119029,5.078558723119029
15.6,462.9959678784689,0.9229682884730526,6.311591439965113,15.26890305477708,485.4994306616841,Free KC,Case 1,5.167936418539936,5.167936418539936
15.8,462.7319672996858,0.9225102929491644,6.311915260830877,15.533037808157216,485.499430661623,Free KC,Case 1,5.257335873530135,5.257335873530135
16.0,462.46814545365305,0.9220486540158837,6.312012276596114,15.7972242772843,485.49943066154935,Free KC,Case 1,5.346752832311609,5.346752832311609
