global_node_id,layer_id,layer_name,local_node_id,x_local_cm,x_global_cm,is_left_boundary,is_right_boundary
38,3,EP/dermis,6,0.00528,0.4618254545454546,False,False
39,3,EP/dermis,7,0.00616,0.4627054545454546,False,False
40,3,EP/dermis,8,0.007039999999999999,0.4635854545454546,False,False
41,3,EP/dermis,9,0.00792,0.46446545454545457,False,False
42,3,EP/dermis,10,0.008799999999999999,0.46534545454545456,False,False
43,3,EP/dermis,11,0.00968,0.4662254545454546,False,False
44,3,EP/dermis,12,0.01056,0.4671054545454546,False,False
45,3,EP/dermis,13,0.011439999999999999,0.4679854545454546,False,False
46,3,EP/dermis,14,0.01232,0.4688654545454546,False,False
47,3,EP/dermis,15,0.013199999999999998,0.4697454545454546,False,False
48,3,EP/dermis,16,0.014079999999999999,0.47062545454545457,False,False
49,3,EP/dermis,17,0.01496,0.47150545454545456,False,False
50,3,EP/dermis,18,0.01584,0.4723854545454546,False,False
51,3,EP/dermis,19,0.01672,0.4732654545454546,False,False
52,3,EP/dermis,20,0.017599999999999998,0.4741454545454546,False,False
53,3,EP/dermis,21,0.01848,0.4750254545454546,False,False
54,3,EP/dermis,22,0.01936,0.4759054545454546,False,False
55,3,EP/dermis,23,0.020239999999999998,0.47678545454545457,False,False
56,3,EP/dermis,24,0.02112,0.4776654545454546,False,False
57,3,EP/dermis,25,0.022,0.4785454545454546,False,False
58,3,EP/dermis,26,0.022879999999999998,0.4794254545454546,False,False
59,3,EP/dermis,27,0.023759999999999996,0.4803054545454546,False,False
60,3,EP/dermis,28,0.02464,0.4811854545454546,False,False
61,3,EP/dermis,29,0.025519999999999998,0.4820654545454546,False,False
62,3,EP/dermis,30,0.026399999999999996,0.48294545454545457,False,False
63,3,EP/dermis,31,0.02728,0.48382545454545456,False,False
64,3,EP/dermis,32,0.028159999999999998,0.4847054545454546,False,False
65,3,EP/dermis,33,0.029039999999999996,0.4855854545454546,False,False
66,3,EP/dermis,34,0.02992,0.4864654545454546,False,False
67,3,EP/dermis,35,0.030799999999999998,0.4873454545454546,False,False
68,3,EP/dermis,36,0.03168,0.4882254545454546,False,False
69,3,EP/dermis,37,0.03256,0.48910545454545457,False,False
70,3,EP/dermis,38,0.03344,0.4899854545454546,False,False
71,3,EP/dermis,39,0.034319999999999996,0.4908654545454546,False,False
72,3,EP/dermis,40,0.035199999999999995,0.4917454545454546,False,False
73,3,EP/dermis,41,0.036079999999999994,0.4926254545454546,False,False
74,3,EP/dermis,42,0.03696,0.4935054545454546,False,False
