global_element_id,layer_id,layer_name,local_element_id,left_node,right_node,x_left_cm,x_right_cm,element_length_cm
129,3,EP/dermis,99,131,132,0.5436654545454546,0.5445454545454546,0.0008799999999999919
130,4,Receptor,0,133,134,0.5445454545454544,0.643030303030303,0.09848484848484851
131,4,Receptor,1,134,135,0.643030303030303,0.7415151515151513,0.0984848484848484
132,4,Receptor,2,135,136,0.7415151515151513,0.8399999999999999,0.09848484848484851
133,4,Receptor,3,136,137,0.8399999999999999,0.9384848484848483,0.0984848484848484
134,4,Receptor,4,137,138,0.9384848484848483,1.0369696969696967,0.0984848484848484
135,4,Receptor,5,138,139,1.0369696969696967,1.1354545454545453,0.09848484848484862
136,4,Receptor,6,139,140,1.1354545454545453,1.2339393939393937,0.0984848484848484
137,4,Receptor,7,140,141,1.2339393939393937,1.332424242424242,0.0984848484848484
138,4,Receptor,8,141,142,1.332424242424242,1.4309090909090907,0.09848484848484862
139,4,Receptor,9,142,143,1.4309090909090907,1.529393939393939,0.0984848484848484
140,4,Receptor,10,143,144,1.529393939393939,1.6278787878787875,0.0984848484848484
141,4,Receptor,11,144,145,1.6278787878787875,1.726363636363636,0.09848484848484862
142,4,Receptor,12,145,146,1.726363636363636,1.8248484848484845,0.0984848484848484
143,4,Receptor,13,146,147,1.8248484848484845,1.923333333333333,0.0984848484848484
144,4,Receptor,14,147,148,1.923333333333333,2.0218181818181815,0.09848484848484862
145,4,Receptor,15,148,149,2.0218181818181815,2.12030303030303,0.09848484848484862
146,4,Receptor,16,149,150,2.12030303030303,2.2187878787878783,0.09848484848484818
147,4,Receptor,17,150,151,2.2187878787878783,2.317272727272727,0.09848484848484862
148,4,Receptor,18,151,152,2.317272727272727,2.415757575757575,0.09848484848484818
149,4,Receptor,19,152,153,2.415757575757575,2.5142424242424237,0.09848484848484862
150,4,Receptor,20,153,154,2.5142424242424237,2.6127272727272723,0.09848484848484862
151,4,Receptor,21,154,155,2.6127272727272723,2.7112121212121205,0.09848484848484818
152,4,Receptor,22,155,156,2.7112121212121205,2.809696969696969,0.09848484848484862
153,4,Receptor,23,156,157,2.809696969696969,2.9081818181818178,0.09848484848484862
154,4,Receptor,24,157,158,2.9081818181818178,3.006666666666666,0.09848484848484818
155,4,Receptor,25,158,159,3.006666666666666,3.1051515151515146,0.09848484848484862
156,4,Receptor,26,159,160,3.1051515151515146,3.203636363636363,0.09848484848484862
157,4,Receptor,27,160,161,3.203636363636363,3.3021212121212113,0.09848484848484818
158,4,Receptor,28,161,162,3.3021212121212113,3.40060606060606,0.09848484848484862
159,4,Receptor,29,162,163,3.40060606060606,3.4990909090909086,0.09848484848484862
